Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28474057,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,12:11,17/03/2026,14:00,TXB9J29,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28479574,BSB2,493019,OTA,CO  ,BSB ,BSB2,E,14/03/2026,15:25,17/03/2026,14:00,SYT6B18,B  ,ONIX,MT 1.0 4P,Nao,,,,Não,
28482860,BSB2,444037,PJ,CO  ,BSB ,BSB2,E,16/03/2026,08:19,17/03/2026,14:00,TYP0J85,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28456410,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,09/03/2026,09:21,17/03/2026,14:00,TXN3J30,SU ,VOLKSWAGEN TERA 1.0,P,Nao,,,,Não,
28481388,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,14:19,17/03/2026,14:19,TXD3E41,SU ,TERA,TSI AT,Nao,,,,Não,
28470488,BSB2,488724,OTA,CO  ,BSB ,BSB2,E,12/03/2026,14:21,17/03/2026,14:21,TXO8F58,SV ,HYUNDAI CRETA 1.0 T-,P,Nao,,,,Não,
28475083,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,15:13,17/03/2026,15:00,TYP0J55,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28485222,BSB2,493608,AG,CO  ,BSB ,BSB2,E,16/03/2026,14:17,17/03/2026,15:00,TYP1A12,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não,
28467251,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,11/03/2026,16:35,17/03/2026,15:30,TZA8B07,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28436138,BSB2,487294,OTA,CO  ,BSB ,BSB2,E,03/03/2026,23:39,17/03/2026,16:00,TXM9E43,SU ,FIAT PULSE 1.3 DRIVE,P,Nao,,,,Não,
28452443,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,07/03/2026,16:18,17/03/2026,16:15,FOJ9C91,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28430904,BSB2,417338,REPLACEMENT,CO  ,BSB ,BSB2,E,02/03/2026,16:52,17/03/2026,17:00,TZA5A66,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
28416507,BSB2,481840,OUTROS PF,CO  ,BSB ,BSB2,E,27/02/2026,08:48,17/03/2026,17:00,TEN8A28,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28478695,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,14/03/2026,11:31,17/03/2026,17:00,TEN9B39,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28480121,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,14/03/2026,19:09,17/03/2026,17:00,TDR3A21,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não,
28467693,BSB2,492772,AG,CO  ,BSB ,BSB2,E,11/03/2026,17:43,17/03/2026,17:30,TZA5A33,SG ,COMPASS,LONGITUDE TURBO FLEX,Nao,,,,Não,
28468853,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,12/03/2026,08:51,17/03/2026,17:30,TXW4H03,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28464135,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,19:31,17/03/2026,18:00,UAZ9I08,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28468796,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,08:44,17/03/2026,18:00,SUQ0H51,EA ,POLO,HIGHLINE TSI AT 1.0,Nao,,,,Não,
28481607,BSB2,481840,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,16:15,17/03/2026,18:00,TXD3H40,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28483154,BSB2,443601,AG,CO  ,BSB ,BSB2,E,16/03/2026,08:51,17/03/2026,18:00,TXD3D73,SU ,TERA,TSI AT,Nao,,,,Não,
28484854,BSB2,493608,AG,CO  ,BSB ,BSB2,E,16/03/2026,12:54,17/03/2026,19:00,PVR5J51,B  ,ONIX,MT 1.0 4P,Nao,,,,Não,
28478185,BSB2,368065,PARCERIA,CO  ,BSB ,BSB2,E,14/03/2026,10:16,17/03/2026,19:00,TEJ8F13,CA ,HB20S,PLATINUM TGDI AT 1.0,Nao,,,,Não,
28464261,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,20:27,17/03/2026,19:00,STW1J74,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28471651,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,19:14,17/03/2026,19:01,TIW5H90,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28471893,BSB2,345699,PARCERIA,CO  ,BSB ,BSB2,E,12/03/2026,20:39,17/03/2026,20:00,TYN5I28,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não,
28481864,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,15/03/2026,18:41,17/03/2026,20:00,TEU0F00,SV ,TRACKER,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28460779,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,08:26,17/03/2026,20:00,TXT8C99,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28464338,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,20:57,17/03/2026,20:30,UAB2I30,CA ,VIRTUS,TSI AT 1.0 4P,Nao,,,,Não,
28436030,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/03/2026,21:31,17/03/2026,21:00,UAB8C36,SV ,HYUNDAI CRETA 1.0 T-,P,Nao,,,,Não,
28482683,BSB2,449511,PJ,CO  ,BSB ,GYN3,E,16/03/2026,08:03,17/03/2026,21:00,TXF9B72,J  ,FORD,RANGER XL  2.0 4P,Nao,,,,Não,
28477459,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,08:23,17/03/2026,22:00,TEN8A80,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28464423,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,22:22,17/03/2026,22:18,TEL7I21,EA ,POLO,SENSE AT 1.0 4P,Nao,,,,Não,
28461561,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,10:53,18/03/2026,05:30,FWP0E51,EA ,POLO,HIGHLINE TSI AT 1.0,Nao,,,,Não,
