Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28475927,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,17:42,03/15/2026,17:00,TWY0D88,AM ,MOBI,TREKKING 1.0 4P,Nao,,,,Não
28472129,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/12/2026,23:57,03/15/2026,17:00,TYO9H28,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não
28473284,BSB2,437858,AG,CO  ,BSB ,BSB2,E,03/13/2026,09:53,03/15/2026,17:00,TYK5E41,SU ,FIAT PULSE 1.3 DRIVE,P,Nao,,,,Não
28459059,BSB2,483866,PARCERIA,CO  ,BSB ,BSB2,E,03/09/2026,16:28,03/15/2026,17:00,TYP4J78,SV ,FIAT FASTBACK 1.0 TU,P,Nao,,,,Não
28468461,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/12/2026,05:55,03/15/2026,17:00,TXN3J35,SU ,VOLKSWAGEN TERA 1.0,P,Nao,,,,Não
28475950,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,17:44,03/15/2026,17:30,TER0C99,EA ,POLO,SENSE AT 1.0 4P,Nao,,,,Não
28475922,BSB2,493604,AG,CO  ,BSB ,BSB2,E,03/13/2026,17:43,03/15/2026,17:30,SJE8C67,B  ,ONIX,LS 1.0 4P,Nao,,,,Não
28475783,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,17:18,03/15/2026,17:45,SYT0J58,B  ,ONIX,MT 1.0 4P,Nao,,,,Não
28468585,BSB2,419539,AG,CO  ,BSB ,BSB2,E,03/12/2026,07:52,03/15/2026,18:00,TEY4I53,EA ,POLO,SENSE AT 1.0 4P,Nao,,,,Não
28469924,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/12/2026,12:16,03/15/2026,18:00,TXA8E34,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não
28472336,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,07:05,03/15/2026,18:00,TXD3D79,SU ,TERA,TSI AT,Nao,,,,Não
28475443,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/13/2026,16:13,03/15/2026,19:00,TEL5E11,BS ,HB20S,COMFORT MT 1.0 4P,Nao,,,,Não
28468301,BSB2,488669,OTA,CO  ,BSB ,BSB2,E,03/11/2026,22:42,03/15/2026,19:00,TYP0J85,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28463151,BSB2,493604,AG,CO  ,BSB ,BSB2,E,03/10/2026,15:43,03/15/2026,19:00,TET5E66,AM ,MOBI,TREKKING 1.0 4P,Nao,,,,Não
28463661,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/10/2026,17:25,03/15/2026,19:00,TDX0E31,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não
28443643,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/05/2026,19:46,03/15/2026,19:00,TDR3A31,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não
28475731,BSB2,419539,AG,CO  ,BSB ,BSB2,E,03/13/2026,17:09,03/15/2026,19:00,TJL0J16,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28476684,BSB2,375628,PARCERIA,CO  ,BSB ,BSB2,E,03/13/2026,20:47,03/15/2026,19:00,TET5E43,CA ,VIRTUS,MSI AT 1.6 4P,Nao,,,,Não
28476524,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,19:47,03/15/2026,19:00,TYP0J39,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28452828,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/07/2026,19:08,03/15/2026,19:03,TIP6J14,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28471741,BSB2,493604,AG,CO  ,BSB ,BSB2,E,03/12/2026,20:48,03/15/2026,19:15,TER6G03,G2 ,STRADA,CD FREEDOM FLEX 1.3,Nao,,,,Não
